MIS,R,G,B,A
3a,255,0,0,255
3c,0,255,0,255
3e,0,0,255,255
5a,0,255,255,255
5c,255,0,255,255
5e,255,255,0,255
7a,255,0,155,255
7c,0,155,255,255
7e,155,255,0,255
9a,255,155,0,255
9c,155,0,255,255
9e,0,255,155,255
11a,255,55,55,255
11c,55,255,55,255
11e,55,55,255,255
13a,255,155,55,255
13c,55,255,155,255
13e,155,55,255,255
15a,155,255,55,255
15c,55,155,255,255
15e,255,55,155,255
Holocene,100,200,255,255
undated1,200,100,50,255
undated2,100,50,200,255
undated3,50,200,100,255
undated4,200,50,100,255
undated5,50,100,200,255
undated6,100,200,50,255
undated7,200,150,20,255
undated8,150,20,200,255
undated9,20,200,150,255
undated10,150,200,20,255
undated11,200,20,150,255
undated12,20,150,200,255
undated13,150,100,50,255
